"Response ID","Submitted Date & Time","Age","Gender","Occupation","Monthly Household Income","Q1. Current Situation","Q2. Primary Purpose","Q3. Preferred Vehicle Type","Q4. Factor (Rank 1-8) - Price","Q4. Factor (Rank 1-8) - Safety","Q4. Factor (Rank 1-8) - Fuel Efficiency","Q4. Factor (Rank 1-8) - Reliability","Q4. Factor (Rank 1-8) - After-sales Service","Q4. Factor (Rank 1-8) - Brand Reputation","Q4. Factor (Rank 1-8) - Maintenance Cost","Q4. Factor (Rank 1-8) - Resale Value","Q5. Source (Rank 1-9) - Family members","Q5. Source (Rank 1-9) - Friends/Relatives","Q5. Source (Rank 1-9) - Social media","Q5. Source (Rank 1-9) - YouTube","Q5. Source (Rank 1-9) - Online reviews","Q5. Source (Rank 1-9) - Automobile websites","Q5. Source (Rank 1-9) - Dealer showroom","Q5. Source (Rank 1-9) - Newspaper/Magazine","Q5. Source (Rank 1-9) - Auto exhibitions/events","Q6. Most Likely Automobile Brand","Q7. Challenge (Rank 1-10) - High purchase price","Q7. Challenge (Rank 1-10) - High taxes/import duties","Q7. Challenge (Rank 1-10) - Limited financing options","Q7. Challenge (Rank 1-10) - High maintenance costs","Q7. Challenge (Rank 1-10) - Fuel costs","Q7. Challenge (Rank 1-10) - Availability of spare parts","Q7. Challenge (Rank 1-10) - Limited vehicle availability","Q7. Challenge (Rank 1-10) - Poor after-sales service","Q7. Challenge (Rank 1-10) - Charging infrastructure (for EVs)","Q7. Challenge (Rank 1-10) - Low resale value","# Consider purchasing an Electric Vehicle (EV)","Q8. EV Factor (Rank 1-7) - Lower running costs","Q8. EV Factor (Rank 1-7) - Government incentives","Q8. EV Factor (Rank 1-7) - Better charging infrastructure","Q8. EV Factor (Rank 1-7) - Longer driving range","Q8. EV Factor (Rank 1-7) - Environmental benefits","Q8. EV Factor (Rank 1-7) - Lower purchase price","Q8. EV Factor (Rank 1-7) - Faster charging","Q9. Preferred Brand","Q9. Preferred Model","Q10. Brand Importance","Q11. Brand Attribute (Rank 1-11) - Reliability and durability","Q11. Brand Attribute (Rank 1-11) - Vehicle quality","Q11. Brand Attribute (Rank 1-11) - Safety","Q11. Brand Attribute (Rank 1-11) - Fuel efficiency","Q11. Brand Attribute (Rank 1-11) - Value for money","Q11. Brand Attribute (Rank 1-11) - Resale value","Q11. Brand Attribute (Rank 1-11) - After-sales service","Q11. Brand Attribute (Rank 1-11) - Availability of spare parts","Q11. Brand Attribute (Rank 1-11) - Innovative technology","Q11. Brand Attribute (Rank 1-11) - Design and styling","Q11. Brand Attribute (Rank 1-11) - Environmentally friendly (Hybrid/EV)","Q12. Approach when choosing brand","Q13. What makes brand trustworthy in Nepal (Open-ended)","Q14. WhatsApp Number for Gift Hamper"
"GF-001","08/07/2026, 04:00:00 PM","25–34","Male","Business Owner / Entrepreneur","Above NPR 200,000","I plan to purchase a four-wheeler within the next 12 months.","Personal transportation","SUV","Rank 1","Rank 8","Rank 3","Rank 4","Rank 6","Rank 5","Rank 7","Rank 2","Rank 3","Rank 1","Rank 4","Rank 2","Rank 5","Rank 7","Rank 6","Rank 9","Rank 8","BYD","Rank 1","Rank 2","Rank 5","Rank 6","Rank 4","Rank 7","Rank 8","Rank 9","Rank 10","Rank 3","Yes","Rank 7","Rank 5","Rank 2","Rank 1","Rank 3","Rank 6","Rank 4","BYD","Atto 2","Important","Rank 1","Rank 4","Rank 10","Rank 5","Rank 2","Rank 3","Rank 6","Rank 7","Rank 8","Rank 9","Rank 11","I compare several brands before making a decision.","Resale value","9860104977"
"GF-002","08/07/2026, 05:05:00 PM","45–54","Female","Business Owner / Entrepreneur","Above NPR 200,000","I plan to purchase a four-wheeler within the next 12 months.","Personal transportation","SUV","Rank 1","Rank 8","Rank 3","Rank 5","Rank 7","Rank 4","Rank 6","Rank 2","Rank 1","Rank 2","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 9","Rank 8","Hyundai","Rank 2","Rank 1","Rank 3","Rank 4","Rank 5","Rank 6","Rank 8","Rank 7","Rank 9","Rank 5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hyundai","Creta","Important","Rank 1","Rank 2","Rank 7","Rank 3","Rank 5","Rank 4","Rank 6","Rank 9","Rank 8","Rank 7","Rank 10","I choose the brand that offers the best value for money.","Durability","9841532778"
"GF-003","08/07/2026, 05:50:00 PM","25–34","Male","Private Sector Employee","NPR 100,001–200,000","I plan to purchase one in the next 1–3 years.","Family use","SUV","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","BYD","Atto 3","Moderately Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I choose the brand that offers the best value for money.","Price to performance","9861800409"
"GF-004","08/07/2026, 07:15:00 PM","Below 25","Male","Private Sector Employee","Above NPR 200,000","I currently own a four-wheeler.","Business use","SUV","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 6","Rank 5","Rank 4","Rank 1","Rank 2","Rank 3","Rank 7","Rank 8","Rank 9","Toyota","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Toyota","Byd","Not Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I usually stick to a brand I trust.","Safety price","9864755746"
"GF-005","08/07/2026, 07:55:00 PM","25–34","Male","Business Owner / Entrepreneur","Above NPR 200,000","I plan to purchase a four-wheeler within the next 12 months.","Family use","SUV","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Hyundai","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Tesla","Model 3","Slightly Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I compare several brands before making a decision.","Reliability",""
"GF-006","08/07/2026, 08:45:00 PM","Below 25","Male","Private Sector Employee","NPR 100,001–200,000","I plan to purchase one in the next 1–3 years.","Family use","SUV","Rank 4","Rank 1","Rank 2","Rank 5","Rank 3","Rank 6","Rank 7","Rank 8","Rank 7","Rank 3","Rank 4","Rank 1","Rank 9","Rank 2","Rank 8","Rank 5","Rank 6","Tata","Rank 10","Rank 9","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Tata","Xuv","Important","Rank 3","Rank 1","Rank 2","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I usually stick to a brand I trust.","Good reviews and service",""
"GF-007","08/07/2026, 10:10:00 PM","25–34","Male","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 100,001–200,000","I plan to purchase one in the next 1–3 years.","Family use","SUV","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","BYD","BYD Atto 3","Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I usually stick to a brand I trust.","Customer trust, service quality, and value for money",""
"GF-008","08/07/2026, 11:25:00 PM","25–34","Male","Self-employed / Freelancer","NPR 100,001–200,000","I plan to purchase a four-wheeler within the next 12 months.","Business use","SUV","Rank 1","Rank 8","Rank 4","Rank 3","Rank 5","Rank 7","Rank 6","Rank 2","Rank 2","Rank 1","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 9","Rank 8","Hyundai","Rank 1","Rank 2","Rank 6","Rank 4","Rank 5","Rank 7","Rank 8","Rank 9","Rank 10","Rank 3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hyundai","Creta","Very Important","Rank 1","Rank 2","Rank 8","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 9","Rank 10","Rank 11","I compare several brands before making a decision.","Reliability",""
"GF-009","08/08/2026, 12:00:00 AM","25–34","Male","Private Sector Employee","NPR 50,000–100,000","I have no immediate plans to purchase a four-wheeler.","Family use","SUV","Rank 1","Rank 2","Rank 3","Rank 5","Rank 4","Rank 7","Rank 8","Rank 6","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Toyota","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","No idea","No idea","Very Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","I choose the brand that offers the best value for money.","Moderate price, low maintenance",""
"GF-010","08/08/2026, 12:45:00 AM","25–34","Male","Self-employed / Freelancer","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Personal transportation","Sedan","Rank 1","Rank 3","Rank 2","Rank 5","Rank 6","Rank 8","Rank 7","Rank 4","Rank 2","Rank 1","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 9","Rank 8","Tata","Rank 1","Rank 2","Rank 5","Rank 3","Rank 4","Rank 6","Rank 8","Rank 9","Rank 10","Rank 7","Yes","Rank 1","Rank 2","Rank 5","Rank 6","Rank 4","Rank 7","Rank 3","Tata","Nexon","Important","Rank 1","Rank 2","Rank 8","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 11","Rank 10","Rank 9","I choose the brand that offers the best value for money.","Cheaper",""
